Feature,Chi-square,Degrees of Freedom,p-value
Stress Level,8.287770571575365,3,0.04042408419780273
Gender,5.312136141376644,2,0.07022379461953385
Exercise Habits,4.460185620784193,3,0.2158692514388116
Family Heart Disease,2.801897928893066,2,0.24636306318950477
Sugar Consumption,3.208397676096791,3,0.3605968073695957
Alcohol Consumption,3.207174876802213,3,0.3607725212300141
Low HDL Cholesterol,1.3059045226130654,2,0.5205068340123762
High LDL Cholesterol,0.9733105736896668,2,0.6146788843261843
Smoking,0.3111808034309812,2,0.855909697726396
Diabetes,0.0731225624907039,2,0.9640990108979722
High Blood Pressure,0.0603840863342835,2,0.9702591840088576
