,Missing Values,Missing Percentage
Alcohol Consumption,2586,25.86
Cholesterol Level,30,0.3
Sugar Consumption,30,0.3
Diabetes,30,0.3
Age,29,0.29
High LDL Cholesterol,26,0.26
CRP Level,26,0.26
Triglyceride Level,26,0.26
High Blood Pressure,26,0.26
Sleep Hours,25,0.25
Low HDL Cholesterol,25,0.25
Smoking,25,0.25
Exercise Habits,25,0.25
BMI,22,0.22
Stress Level,22,0.22
Fasting Blood Sugar,22,0.22
Family Heart Disease,21,0.21
Homocysteine Level,20,0.2
Gender,19,0.19
Blood Pressure,19,0.19
