Model,Class,precision,recall,f1-score,support
Logistic Regression,No,0.7906976744186046,0.51,0.6200607902735562,1600.0
Logistic Regression,Yes,0.19008264462809918,0.46,0.26900584795321636,400.0
Logistic Regression,macro avg,0.4903901595233519,0.485,0.4445333191133863,2000.0
Logistic Regression,weighted avg,0.6705746684605035,0.5,0.5498498018094882,2000.0
SVM,No,0.8056407112201104,0.82125,0.8133704735376045,1600.0
SVM,Yes,0.22493224932249323,0.2075,0.21586475942782835,400.0
SVM,macro avg,0.5152864802713018,0.514375,0.5146176164827164,2000.0
SVM,weighted avg,0.6894990188405871,0.6985,0.6938693307156493,2000.0
Random Forest,No,0.7997919916796672,0.96125,0.8731195004257735,1600.0
Random Forest,Yes,0.19480519480519481,0.0375,0.06289308176100629,400.0
Random Forest,macro avg,0.497298593242431,0.499375,0.46800629109338987,2000.0
Random Forest,weighted avg,0.6787946323047728,0.7765,0.7110742166928201,2000.0
